GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
argo_idl,org.argouml.uml.reveng.idl,UnsupportedJavaFeatureException,15,0,0,0,2,0,1,0,1,0
argo_idl,org.argouml.uml.reveng.idl,ClassifierContext,45,0,8,0,11,0,8,0,4,0
argo_idl,org.argouml.uml.reveng.idl,OuterClassifierContext,180,0,18,0,44,0,14,0,5,0
argo_idl,org.argouml.uml.reveng.idl,IDLParser,14621,0,905,0,3896,0,749,0,234,0
argo_idl,org.argouml.uml.reveng.idl,ParseStateException,11,0,0,0,2,0,1,0,1,0
argo_idl,org.argouml.uml.reveng.idl,ParseState,338,0,36,0,84,0,39,0,21,0
argo_idl,org.argouml.uml.reveng.idl,ParameterDeclaration,21,0,0,0,8,0,4,0,4,0
argo_idl,org.argouml.uml.reveng.idl,Modeler,2275,0,261,0,589,0,193,0,62,0
argo_idl,org.argouml.uml.reveng.idl,IDLFileImport,170,0,8,0,43,0,15,0,10,0
argo_idl,org.argouml.uml.reveng.idl,Context,44,0,4,0,13,0,6,0,4,0
argo_idl,org.argouml.uml.reveng.idl,IDLLexer,5036,0,609,0,962,0,400,0,61,0
argo_idl,org.argouml.uml.reveng.idl,ClassifierNotFoundException,11,0,0,0,2,0,1,0,1,0
argo_idl,org.argouml.uml.reveng.idl,PackageContext,232,0,48,0,62,0,30,0,6,0
argo_idl,org.argouml.uml.reveng.idl,JavaParseException,4,0,0,0,2,0,1,0,1,0
